concelho,populacao2011,populacao2018,densidade2011,densidade2018
Lisboa,547733,507220,6448.2,5069.7
Sintra,377835,388434,1183.6,1216.8
Vila Nova de Gaia,302295,299938,1794.4,1780.5
Porto,237591,215284,5736.1,5197.6
Cascais,206479,212474,2119.9,2181.5
Loures,205054,211359,1211.2,1263.8
Braga,181494,181919,989.6,991.9
Matosinhos,175478,174382,2811.3,2793.7
Amadora,175136,181724,7363.4,7641.9
Almada,174030,168987,2478.8,2413.8
Oeiras,172120,176218,3751.3,3840.8
Gondomar,168027,165631,1274.3,1255.5
Seixal,158269,166835,1657.3,1747.9
Guimarães,158124,152792,656,634
Odivelas,144549,159602,5484.3,6013.6
Coimbra,143396,133724,449,418.7
Santa Maria da Feira,139312,138525,645.3,641.7
Vila Franca de Xira,136886,141603,430.3,445
Maia,135306,137727,1627.6,1660.6
Vila Nova de Famalicão,133832,131738,663.9,653.5
Leiria,126897,124857,224.6,221
Setúbal,121185,115758,526.2,502.6
Barcelos,120391,116531,317.7,307.6
Funchal,111892,104129,1469.6,1367.2
Viseu,99274,96991,195.8,191.3
Valongo,93858,96570,1249.4,1285.5
Viana do Castelo,88725,84636,278.1,265.3
Paredes,86854,86072,554.1,549.1
Vila do Conde,79533,79579,533.7,534
Torres Vedras,79465,78220,195.2,192.1
Barreiro,78764,75419,2164.4,2072.5
Aveiro,78450,77916,397.1,394.4
Mafra,76685,84008,262.9,288
Penafiel,72265,69922,340.5,329.4
Santo Tirso,71530,68221,523.6,499.6
Loulé,70622,68873,92.4,90.2
Ponta Delgada,68809,67864,295.3,291.3
Oliveira de Azeméis,68611,66113,425.9,410.4
Moita,66029,64526,1194.9,1167.7
Faro,64560,60974,319.9,301
Póvoa de Varzim,63408,62510,771.3,760.4
Palmela,62831,64214,135.1,138.1
Santarém,62200,57398,111,103.9
Figueira da Foz,62125,58866,163.9,155.3
Felgueiras,58065,56576,501.7,488.8
Alcobaça,56693,53641,138.9,131.4
Évora,56596,52454,43.3,40.1
Paços de Ferreira,56340,56709,793.6,798.8
Amarante,56264,53366,186.7,177.1
Castelo Branco,56109,52192,39,36.3
Portimão,55614,55416,305.5,304.4
Ovar,55398,54120,375.1,366.4
Pombal,55217,51684,88.2,82.6
Marco de Canaveses,53450,51661,264.8,255.9
Vila Real,51850,49868,136.9,131.6
Covilhã,51797,47127,93.2,84.8
Caldas da Rainha,51729,51540,202.3,201.6
Montijo,51222,56887,146.9,163.2
Fafe,50633,48271,231.1,220.3
Sesimbra,49500,51559,253.2,263.4
Vila Verde,47888,46865,209.4,204.9
Águeda,47729,45992,142.4,137.2
Lousada,47387,46790,493.2,487
Ourém,45932,44068,110.3,105.8
Olhão,45396,44607,346.9,340.9
Ponte de Lima,43498,41499,135.8,129.6
Alenquer,43267,43596,142.2,143.3
Santa Cruz,43005,44744,527.7,549
Guarda,42541,39103,59.7,54.9
Chaves,41243,39345,69.8,66.5
Albufeira,40828,41123,290.3,292.4
Tomar,40677,36902,115.8,105.1
Abrantes,39325,35377,55,49.5
Trofa,38999,38317,542.6,532
Marinha Grande,38681,38404,206.6,205.1
Ílhavo,38598,38405,524.9,522.7
Silves,37126,36174,54.6,53.2
Torres Novas,36717,34970,136,129.5
Cantanhede,36595,35068,93.6,89.7
Beja,35854,33550,31.3,29.3
Câmara de Lobos,35666,33732,684,646.6
Angra do Heroísmo,35402,33903,148.1,141.9
Bragança,35341,33586,30.1,28.6
Esposende,34254,34057,359,357
Ribeira Grande,32112,32698,178.3,181.5
Espinho,31786,29484,1509.5,1400
Lagos,31049,30442,145.8,142.9
Santiago do Cacém,29749,28725,28.1,27.1
Fundão,29213,26719,41.7,38.2
Anadia,29150,27298,134.6,126
Benavente,29019,30214,55.7,58
Tondela,28946,26548,78,71.5
Peniche,27753,26487,357.9,341.5
Estarreja,26997,25965,249.6,240
Lamego,26691,24959,161.4,150.9
Montemor-o-Velho,26171,25230,114.3,110.2
Tavira,26167,24750,43.1,40.8
Odemira,26066,24621,15.2,14.3
Lourinhã,25735,25670,174.9,174.4
Albergaria-a-Velha,25252,24128,159,151.9
Portalegre,24930,22359,55.8,50
Seia,24702,22412,56.7,51.4
Cartaxo,24462,23740,154.7,150.1
Porto de Mós,24342,23288,93,88.9
Mirandela,23850,21808,36.2,33.1
Vizela,23736,23840,961,965.2
Almeirim,23376,22569,105.2,101.6
Elvas,23078,20706,36.6,32.8
Oliveira do Bairro,23028,23944,263.7,274.2
Lagoa (Faro),22975,22748,260.3,257.8
Vale de Cambra,22864,21399,155.2,145.2
Vagos,22851,22685,138.6,137.6
Arcos de Valdevez,22847,20970,51,46.8
Arouca,22359,20861,67.9,63.4
Salvaterra de Magos,22159,21268,90.8,87.2
Póvoa de Lanhoso,21886,21446,165.1,159.3
Machico,21828,20094,320.1,294.4
Azambuja,21814,22445,83.1,85.5
São João da Madeira,21713,21761,2733.6,2740.7
Rio Maior,21192,20340,77.7,74.6
